label_name,category
Carpus,soft tissue structure – musculoskeletal system
Manus,soft tissue structure – musculoskeletal system
Metacarpus,soft tissue structure – musculoskeletal system
Digiti manus,soft tissue structure – musculoskeletal system
Digitus medius manus,soft tissue structure – musculoskeletal system
Digitus minimus manus,soft tissue structure – musculoskeletal system
Membrum inferius,soft tissue structure – musculoskeletal system
Natis Clunis ,soft tissue structure – musculoskeletal system
Coxa,soft tissue structure – musculoskeletal system
Pars libera membri inferioris,direction – general anatomy
Femur,soft tissue structure – musculoskeletal system
Genu,soft tissue structure – musculoskeletal system
Poples,soft tissue structure – musculoskeletal system
Crus,soft tissue structure – musculoskeletal system
Sura,soft tissue structure – musculoskeletal system
Talus,soft tissue structure – musculoskeletal system
Pes,soft tissue structure – musculoskeletal system
Calx,soft tissue structure – musculoskeletal system
Pars media pedis,soft tissue structure – musculoskeletal system
Metatarsus,soft tissue structure – musculoskeletal system
Digiti pedis,soft tissue structure – musculoskeletal system
of foot,soft tissue structure – musculoskeletal system
Digitus secundus pedis Digitus II pedis,soft tissue structure – musculoskeletal system
Digitus tertius pedis Digitus III pedis,soft tissue structure – musculoskeletal system
Digitus quartus pedis Digitus IV pedis,soft tissue structure – musculoskeletal system
Regiones corporis humani,organ – cardiovascular system
Regiones capitis Regio capitalis,soft tissue structure – musculoskeletal system
Vertex,soft tissue structure – musculoskeletal system
Regio frontalis,soft tissue structure – musculoskeletal system
Supercilium,soft tissue structure – musculoskeletal system
Regio parietalis,soft tissue structure – musculoskeletal system
Regio occipitalis,soft tissue structure – musculoskeletal system
Regio temporalis,soft tissue structure – musculoskeletal system
Regio mastoidea,soft tissue structure – musculoskeletal system
Regio auricularis,soft tissue structure – musculoskeletal system
Fossa triangularis,soft tissue structure – musculoskeletal system
Scapha,soft tissue structure – musculoskeletal system
Concha auriculae,soft tissue structure – musculoskeletal system
Cymba conchae,soft tissue structure – musculoskeletal system
Cavitas conchae,soft tissue structure – musculoskeletal system
Incisura anterior auriculae,direction – general anatomy
Incisura intertragica,soft tissue structure – musculoskeletal system
(Tuberculum auriculae),soft tissue structure – musculoskeletal system
(Apex auriculae),soft tissue structure – musculoskeletal system
Sulcus posterior auriculae,direction – general anatomy
(Tuberculum supratragicum),soft tissue structure – musculoskeletal system
Fossa antihelica,soft tissue structure – musculoskeletal system
Eminentia conchae,soft tissue structure – musculoskeletal system
Eminentia scaphae,soft tissue structure – musculoskeletal system
Eminentia fossae triangularis,soft tissue structure – musculoskeletal system
Regiones faciei Regio facialis,soft tissue structure – musculoskeletal system
Regio orbitalis,soft tissue structure – musculoskeletal system
Sulcus suprapalpebralis,soft tissue structure – musculoskeletal system
Rima palpebrarum,soft tissue structure – musculoskeletal system
Commissura lateralis palpebrarum,direction – general anatomy
Commissura medialis palpebrarum,direction – general anatomy
Angulus lateralis oculi,direction – general anatomy
Angulus medialis oculi,direction – general anatomy
Sulcus infrapalpebralis,soft tissue structure – musculoskeletal system
Plica palpebronasalis,soft tissue structure – musculoskeletal system
Regio infraorbitalis,soft tissue structure – musculoskeletal system
Regio buccalis,soft tissue structure – musculoskeletal system
Regio parotideomasseterica,soft tissue structure – musculoskeletal system
Regio zygomatica,soft tissue structure – musculoskeletal system
Regio nasalis,soft tissue structure – musculoskeletal system
Radix nasi,soft tissue structure – musculoskeletal system
Dorsum nasi,soft tissue structure – musculoskeletal system
Apex nasi,soft tissue structure – musculoskeletal system
Sulcus nasolabialis,soft tissue structure – musculoskeletal system
Regio oralis,soft tissue structure – musculoskeletal system
Philtrum,soft tissue structure – musculoskeletal system
Tuberculum labii superioris,direction – general anatomy
Commissura labiorum oris,soft tissue structure – musculoskeletal system
Angulus oris,soft tissue structure – musculoskeletal system
Sulcus mentolabialis,soft tissue structure – musculoskeletal system
Regio mentalis,soft tissue structure – musculoskeletal system
Regiones colli Regio cervicalis Regions of neck Regions of neck,soft tissue structure – musculoskeletal system
Regio anterior colli Regio cervicalis anterior Anterior region of neck,direction – general anatomy
Trigonum anterius,soft tissue structure – musculoskeletal system
Regio suprahyoidea,soft tissue structure – musculoskeletal system
Trigonum submandibulare,soft tissue structure – musculoskeletal system
Trigonum submentale,soft tissue structure – musculoskeletal system
Regio infrahyoidea,soft tissue structure – musculoskeletal system
Trigonum caroticum,soft tissue structure – musculoskeletal system
Trigonum musculare Trigonum omotracheale,soft tissue structure – musculoskeletal system
Regio sternocleidomastoidea,soft tissue structure – musculoskeletal system
Fossa supraclavicularis minor,soft tissue structure – musculoskeletal system
Fossa supraclavicularis major,soft tissue structure – musculoskeletal system
Trigonum omoclaviculare,soft tissue structure – musculoskeletal system
Trigonum occipitale Trigonum omotrapezium,soft tissue structure – musculoskeletal system
Regio posterior colli ,direction – general anatomy
Regio cervicalis posterior ,direction – general anatomy
Regiones thoracis,soft tissue structure – musculoskeletal system
Precordium Praecordium,organ – cardiovascular system
Regio presternalis Regio praesternalis,soft tissue structure – musculoskeletal system
Fossa infraclavicularis,soft tissue structure – musculoskeletal system
Trigonum deltopectorale Trigonum clavipectorale,soft tissue structure – musculoskeletal system
Sulcus deltopectoralis,soft tissue structure – musculoskeletal system
Regio pectoralis,soft tissue structure – musculoskeletal system
Regio mammaria,soft tissue structure – musculoskeletal system
Regio inframammaria,soft tissue structure – musculoskeletal system
Regiones abdominis Regio abdominalis,soft tissue structure – musculoskeletal system
Regio hypochondriaca Hypochondrium Hypochondriac region Hypochondriac region,soft tissue structure – musculoskeletal system
Regio epigastrica Epigastrium Epigastric region Epigastric region,soft tissue structure – musculoskeletal system
Fossa epigastrica,soft tissue structure – musculoskeletal system
Regio umbilicalis,soft tissue structure – musculoskeletal system
Umbilicus,soft tissue structure – musculoskeletal system
Regiones dorsi ,soft tissue structure – musculoskeletal system
Regio dorsalis ,soft tissue structure – musculoskeletal system
Regio vertebralis,soft tissue structure – musculoskeletal system
Regio scapularis,soft tissue structure – musculoskeletal system
Trigonum auscultationis,soft tissue structure – musculoskeletal system
Regio infrascapularis,soft tissue structure – musculoskeletal system
Regio lumbalis,soft tissue structure – musculoskeletal system
Trigonum lumbale,soft tissue structure – musculoskeletal system
Trigonum lumbale superius,soft tissue structure – musculoskeletal system
Regio sacralis,soft tissue structure – musculoskeletal system
Foveola sacroiliaca,soft tissue structure – musculoskeletal system
Regio coccygea,soft tissue structure – musculoskeletal system
(Foveola coccygea),soft tissue structure – musculoskeletal system
Regiones perinei ,soft tissue structure – musculoskeletal system
Regio perinealis ,soft tissue structure – musculoskeletal system
Regio analis,soft tissue structure – musculoskeletal system
Trigonum anale,soft tissue structure – musculoskeletal system
Regio urogenitalis ,soft tissue structure – musculoskeletal system
Trigonum urogenitale,soft tissue structure – musculoskeletal system
Regiones membri superioris,direction – general anatomy
Regio axillaris,soft tissue structure – musculoskeletal system
Fossa axillaris,soft tissue structure – musculoskeletal system
Regio deltoidea,soft tissue structure – musculoskeletal system
Regio brachialis ,soft tissue structure – musculoskeletal system
Regio brachii,soft tissue structure – musculoskeletal system
Regio anterior brachii ,direction – general anatomy
Regio brachialis anterior,direction – general anatomy
Sulcus biciptalis lateralis ,direction – general anatomy
Sulcus bicipitalis radialis,soft tissue structure – musculoskeletal system
Sulcus bicipitalis medialis ,direction – general anatomy
Sulcus bicipitalis ulnaris,soft tissue structure – musculoskeletal system
Regio posterior brachii ,direction – general anatomy
Regio brachialis posterior,direction – general anatomy
Regio cubitalis ,soft tissue structure – musculoskeletal system
Regio cubiti,soft tissue structure – musculoskeletal system
Regio anterior cubiti ,direction – general anatomy
Regio cubitalis anterior,direction – general anatomy
Fossa cubitalis,soft tissue structure – musculoskeletal system
Regio posterior cubiti ,direction – general anatomy
Regio cubitalis posterior,direction – general anatomy
Regio antebrachialis ,soft tissue structure – musculoskeletal system
Regio antebrachii,soft tissue structure – musculoskeletal system
Regio anterior antebrachii ,direction – general anatomy
Regio antebrachialis anterior,direction – general anatomy
Regio posterior antebrachii ,direction – general anatomy
Regio antebrachialis posterior,direction – general anatomy
Margo lateralis antebrachii ,direction – general anatomy
Margo radialis antebrachii,soft tissue structure – musculoskeletal system
Margo medialis antebrachii ,direction – general anatomy
Margo ulnaris antebrachii,soft tissue structure – musculoskeletal system
Regio carpea ,soft tissue structure – musculoskeletal system
Regio carpi ,soft tissue structure – musculoskeletal system
