label_name,category
Ethmoidal labyrinth ,soft tissue structure – musculoskeletal system
Ethmoidal labyrinth,soft tissue structure – musculoskeletal system
Cellulae ossis ethmoidei ,soft tissue structure – musculoskeletal system
Cellulae ethmoideae osseae,soft tissue structure – musculoskeletal system
Cellulae anteriores ossis ethmoidei,direction – general anatomy
Cellulae mediae ossis ethmoidei,soft tissue structure – musculoskeletal system
 Cellulae ethmoideae mediae osseae,soft tissue structure – musculoskeletal system
Cellulae posteriores ossis ethmoidei,direction – general anatomy
Lamina orbitalis labyrinthi ethmoidei,soft tissue structure – musculoskeletal system
(Concha nasalis suprema),soft tissue structure – musculoskeletal system
Concha nasalis superior,direction – general anatomy
Concha nasalis media,soft tissue structure – musculoskeletal system
Bulla ethmoidea ossea Bulla ethmoidalis ossea,soft tissue structure – musculoskeletal system
Processus uncinatus ossis ethmoidei,soft tissue structure – musculoskeletal system
Infundibulum ethmoideum osseum ,soft tissue structure – musculoskeletal system
Infundibulum ethmoidale osseum,soft tissue structure – musculoskeletal system
Hiatus semilunaris osseus,soft tissue structure – musculoskeletal system
Concha nasalis inferior,direction – general anatomy
Processus lacrimalis,soft tissue structure – musculoskeletal system
Processus maxillaris conchae nasalis inferioris,direction – general anatomy
Processus ethmoideus,soft tissue structure – musculoskeletal system
Os lacrimale,bone – skeletal system
Crista lacrimalis posterior,direction – general anatomy
Sulcus lacrimalis ossis lacrimalis,soft tissue structure – musculoskeletal system
Hamulus lacrimalis,soft tissue structure – musculoskeletal system
Os nasale,bone – skeletal system
Sulcus ethmoideus,soft tissue structure – musculoskeletal system
Foramen nasalis,soft tissue structure – musculoskeletal system
Vomer,soft tissue structure – musculoskeletal system
Ala vomeris,soft tissue structure – musculoskeletal system
Sulcus vomeris,soft tissue structure – musculoskeletal system
Crista choanalis vomeris,soft tissue structure – musculoskeletal system
Pars cuneiformis vomeris,soft tissue structure – musculoskeletal system
Maxilla,soft tissue structure – musculoskeletal system
Corpus maxillae,organ – cardiovascular system
Facies orbitalis maxillae,soft tissue structure – musculoskeletal system
Canalis infraorbitalis,soft tissue structure – musculoskeletal system
Sulcus infraorbitalis,soft tissue structure – musculoskeletal system
Pars maxillaris marginis aditus,soft tissue structure – musculoskeletal system
Facies anterior maxillae,direction – general anatomy
Foramen infraorbitale,soft tissue structure – musculoskeletal system
Fossa canina,soft tissue structure – musculoskeletal system
Incisura nasalis,soft tissue structure – musculoskeletal system
Spina nasalis anterior ,direction – general anatomy
Spina nasalis maxillae,soft tissue structure – musculoskeletal system
Facies infratemporalis maxillae,soft tissue structure – musculoskeletal system
Foramina alveolaria,soft tissue structure – musculoskeletal system
Foramina alveolaria superiora posteriora,direction – general anatomy
Foramen alveolare superius medium,soft tissue structure – musculoskeletal system
Foramen alveolare superius anterius,soft tissue structure – musculoskeletal system
Canales alveolares,soft tissue structure – musculoskeletal system
Tuber maxillae Eminentia maxillae,soft tissue structure – musculoskeletal system
Facies nasalis maxillae,soft tissue structure – musculoskeletal system
Sulcus lacrimalis maxillae,soft tissue structure – musculoskeletal system
Crista conchalis maxillae,soft tissue structure – musculoskeletal system
Margo lacrimalis maxillae,soft tissue structure – musculoskeletal system
Hiatus maxillae Hiatus maxillaris osseus,soft tissue structure – musculoskeletal system
Sulcus palatinus major maxillae,soft tissue structure – musculoskeletal system
Sinus maxillae Sinus maxillaris osseus,soft tissue structure – musculoskeletal system
Processus frontalis maxillae,soft tissue structure – musculoskeletal system
Crista lacrimalis anterior,direction – general anatomy
Incisura lacrimalis,soft tissue structure – musculoskeletal system
Crista ethmoidea maxillae ,soft tissue structure – musculoskeletal system
Crista ethmoidalis maxillae,soft tissue structure – musculoskeletal system
Processus zygomaticus maxillae,soft tissue structure – musculoskeletal system
Processus palatinus,soft tissue structure – musculoskeletal system
Crista nasalis maxillae,soft tissue structure – musculoskeletal system
Canales incisivi,soft tissue structure – musculoskeletal system
Spinae palatinae,soft tissue structure – musculoskeletal system
Sulci palatini,soft tissue structure – musculoskeletal system
Processus alveolaris maxillae,soft tissue structure – musculoskeletal system
Arcus alveolaris maxillae,soft tissue structure – musculoskeletal system
Alveoli dentales maxillae,soft tissue structure – musculoskeletal system
Septa interalveolaria maxillae,soft tissue structure – musculoskeletal system
Septa interradicularia maxillae,soft tissue structure – musculoskeletal system
Juga alveolaria maxillae,soft tissue structure – musculoskeletal system
Foramina incisiva,soft tissue structure – musculoskeletal system
Os palatinum,bone – skeletal system
Lamina perpendicularis ossis palatini,soft tissue structure – musculoskeletal system
Facies nasalis laminae perpendicularis,soft tissue structure – musculoskeletal system
Facies maxillaris ossis palatini,soft tissue structure – musculoskeletal system
Incisura sphenopalatina,soft tissue structure – musculoskeletal system
Sulcus palatinus major ossis palatini,soft tissue structure – musculoskeletal system
Processus pyramidalis,soft tissue structure – musculoskeletal system
Canales palatini minores,soft tissue structure – musculoskeletal system
Crista conchalis ossis palatini,soft tissue structure – musculoskeletal system
Processus maxillaris ossis palatini,soft tissue structure – musculoskeletal system
Crista ethmoidea ossis palatini ,soft tissue structure – musculoskeletal system
Crista ethmoidalis ossis palatini,soft tissue structure – musculoskeletal system
Processus orbitalis,soft tissue structure – musculoskeletal system
Processus sphenoideus ,soft tissue structure – musculoskeletal system
Processus sphenoidalis,soft tissue structure – musculoskeletal system
Lamina horizontalis ossis palatini,soft tissue structure – musculoskeletal system
Facies nasalis laminae horizontalis,soft tissue structure – musculoskeletal system
Facies palatina ossis palatini,soft tissue structure – musculoskeletal system
Foramina palatini minora,soft tissue structure – musculoskeletal system
Spina nasalis posterior ,direction – general anatomy
Spina nasalis ossis palatini,soft tissue structure – musculoskeletal system
Crista nasalis ossis palatini,soft tissue structure – musculoskeletal system
Crista palatina,soft tissue structure – musculoskeletal system
Os zygomaticum,bone – skeletal system
(Os japonicum),bone – skeletal system
Facies lateralis ossis zygomatici,direction – general anatomy
Facies temporalis ossis zygomatici,soft tissue structure – musculoskeletal system
Facies orbitalis ossis zygomatici,soft tissue structure – musculoskeletal system
Processus temporalis ossis zygomatici,soft tissue structure – musculoskeletal system
Processus frontalis ossis zygomatici,soft tissue structure – musculoskeletal system
Tuberculum orbitale Eminentia orbitalis,soft tissue structure – musculoskeletal system
(Tuberculum marginale),soft tissue structure – musculoskeletal system
Foramen zygomaticoorbitale,soft tissue structure – musculoskeletal system
Foramen zygomaticofaciale,soft tissue structure – musculoskeletal system
Foramen zygomaticotemporale,soft tissue structure – musculoskeletal system
Ossa accessoria cranii,bone – skeletal system
Os suturale,bone – skeletal system
Os interparietale,bone – skeletal system
Os incae Interparietal bone,bone – skeletal system
OSSA EXTRACRANIALIA CAPITIS,bone – skeletal system
Mandibula,soft tissue structure – musculoskeletal system
Corpus mandibulae,organ – cardiovascular system
Basis mandibulae,soft tissue structure – musculoskeletal system
Symphysis mandibulae,soft tissue structure – musculoskeletal system
Symphysis menti,soft tissue structure – musculoskeletal system
Gnathion,soft tissue structure – musculoskeletal system
Protuberantia mentalis,soft tissue structure – musculoskeletal system
Tuberculum mentale,soft tissue structure – musculoskeletal system
Spina mentalis superior,direction – general anatomy
Spina mentalis inferior,direction – general anatomy
Genion,soft tissue structure – musculoskeletal system
Foramen mentale,soft tissue structure – musculoskeletal system
Linea obliqua mandibulae,soft tissue structure – musculoskeletal system
Fossa digastrica,soft tissue structure – musculoskeletal system
Linea mylohyoidea,soft tissue structure – musculoskeletal system
Torus mandibularis,soft tissue structure – musculoskeletal system
Fovea sublingualis,soft tissue structure – musculoskeletal system
Fovea submandibularis,soft tissue structure – musculoskeletal system
Pars alveolaris mandibulae,soft tissue structure – musculoskeletal system
Arcus alveolaris mandibulae,soft tissue structure – musculoskeletal system
Alveoli dentales mandibulae,soft tissue structure – musculoskeletal system
Septa interalveolaria mandibulae,soft tissue structure – musculoskeletal system
Septa interradicularia mandibulae,soft tissue structure – musculoskeletal system
Juga alveolaria mandibulae,soft tissue structure – musculoskeletal system
Trigonum retromolare,soft tissue structure – musculoskeletal system
Fossa retromolaris,soft tissue structure – musculoskeletal system
Ramus mandibulae,soft tissue structure – musculoskeletal system
Angulus mandibulae,soft tissue structure – musculoskeletal system
Gonion,soft tissue structure – musculoskeletal system
Tuberositas masseterica,soft tissue structure – musculoskeletal system
Tuberositas pterygoidea,soft tissue structure – musculoskeletal system
Foramen alveolare inferius,soft tissue structure – musculoskeletal system
Lingula mandibulae,soft tissue structure – musculoskeletal system
Canalis mandibulae,soft tissue structure – musculoskeletal system
Sulcus mylohyoideus,soft tissue structure – musculoskeletal system
Processus coronoideus mandibulae,organ – cardiovascular system
Crista temporalis,soft tissue structure – musculoskeletal system
Incisura mandibulae,soft tissue structure – musculoskeletal system
Processus condylaris,soft tissue structure – musculoskeletal system
Condylus mandibulae Caput mandibulae,soft tissue structure – musculoskeletal system
Collum mandibulae,soft tissue structure – musculoskeletal system
Fovea pterygoidea,soft tissue structure – musculoskeletal system
Os hyoideum,bone – skeletal system
Corpus ossis hyoidei,organ – cardiovascular system
Cornu minus ossis hyoidei,organ – cardiovascular system
Cornu majus ossis hyoidei,organ – cardiovascular system
OSSICULA AUDITUS,bone – skeletal system
Malleus,soft tissue structure – musculoskeletal system
Manubrium mallei,soft tissue structure – musculoskeletal system
Caput mallei,soft tissue structure – musculoskeletal system
Facies articularis capitis mallei,soft tissue structure – musculoskeletal system
Collum mallei,soft tissue structure – musculoskeletal system
Processus lateralis mallei,direction – general anatomy
Processus anterior mallei,direction – general anatomy
Incus,soft tissue structure – musculoskeletal system
Corpus incudis,organ – cardiovascular system
Facies articularis mallearis,soft tissue structure – musculoskeletal system
Crus longum incudis,soft tissue structure – musculoskeletal system
Processus lenticularis incudis,soft tissue structure – musculoskeletal system
Facies articularis stapedialis,soft tissue structure – musculoskeletal system
Crus breve incudis,soft tissue structure – musculoskeletal system
Stapes,soft tissue structure – musculoskeletal system
Caput stapedis,soft tissue structure – musculoskeletal system
Facies articularis capitis stapedis,soft tissue structure – musculoskeletal system
Crus anterius stapedis,soft tissue structure – musculoskeletal system
Crus posterius stapedis,soft tissue structure – musculoskeletal system
Basis stapedis,soft tissue structure – musculoskeletal system
DENTES,soft tissue structure – musculoskeletal system
(Diastema),soft tissue structure – musculoskeletal system
Dentes anteriores,direction – general anatomy
Dens incisivus,soft tissue structure – musculoskeletal system
Dens caninus,soft tissue structure – musculoskeletal system
Dentes posteriores,direction – general anatomy
Dens premolaris Dens praemolaris,soft tissue structure – musculoskeletal system
Dens molaris,soft tissue structure – musculoskeletal system
Dens molaris tertius Dens serotinus,soft tissue structure – musculoskeletal system
Dentes decidui,soft tissue structure – musculoskeletal system
Dentes permanentes,soft tissue structure – musculoskeletal system
Dens,soft tissue structure – musculoskeletal system
Corona dentis,organ – cardiovascular system
Facies occlusalis dentis,soft tissue structure – musculoskeletal system
Facies vestibularis dentis,soft tissue structure – musculoskeletal system
Facies labialis dentis,soft tissue structure – musculoskeletal system
Facies buccalis dentis,soft tissue structure – musculoskeletal system
Facies palatina dentis ,soft tissue structure – musculoskeletal system
Facies palatinalis dentis,soft tissue structure – musculoskeletal system
Facies lingualis dentis,soft tissue structure – musculoskeletal system
Facies approximalis dentis ,direction – general anatomy
Facies contactus dentis,soft tissue structure – musculoskeletal system
Facies mesialis dentis,soft tissue structure – musculoskeletal system
Facies distalis dentis,direction – general anatomy
Cuspis dentis,soft tissue structure – musculoskeletal system
Cervix dentis,soft tissue structure – musculoskeletal system
Radix dentis,soft tissue structure – musculoskeletal system
Apex radicis dentis,soft tissue structure – musculoskeletal system
Radix accessoria dentis,soft tissue structure – musculoskeletal system
Cavitas pulparis ,soft tissue structure – musculoskeletal system
Cavitas dentis ,soft tissue structure – musculoskeletal system
Cavitas coronae,organ – cardiovascular system
Canalis radicis dentis,soft tissue structure – musculoskeletal system
Foramen apicis radicis dentis ,soft tissue structure – musculoskeletal system
Foramen apicis dentis,soft tissue structure – musculoskeletal system
Pulpa dentis,soft tissue structure – musculoskeletal system
Pulpa coronalis,organ – cardiovascular system
Pulpa radicularis,soft tissue structure – musculoskeletal system
Dentinum,soft tissue structure – musculoskeletal system
Enamelum,soft tissue structure – musculoskeletal system
CARTILAGINES NASI,soft tissue structure – musculoskeletal system
Cartilago alaris major,cartilage – skeletal system
Crus mediale cartilaginis alaris majoris,direction – general anatomy
Pars mobilis septi nasi,soft tissue structure – musculoskeletal system
Crus laterale cartilaginis alaris majoris,direction – general anatomy
Cartilagines alares minores,soft tissue structure – musculoskeletal system
Cartilagines accessoriae nasi,soft tissue structure – musculoskeletal system
Cartilago septi nasi,cartilage – skeletal system
Processus lateralis cartilaginis septi nasi,direction – general anatomy
Processus posterior cartilaginis septi nasi,direction – general anatomy
Cartilago vomeronasalis,cartilage – skeletal system
CARTILAGINES AURIS,soft tissue structure – musculoskeletal system
Cartilago auriculae,cartilage – skeletal system
Spina helicis,soft tissue structure – musculoskeletal system
Cauda helicis,soft tissue structure – musculoskeletal system
Isthmus cartilaginis auricularis,soft tissue structure – musculoskeletal system
Incisura terminalis auricularis,soft tissue structure – musculoskeletal system
Fissura antitragohelicina,soft tissue structure – musculoskeletal system
Sulcus cruris helicis,soft tissue structure – musculoskeletal system
Cartilago meatus acustici externi,cartilage – skeletal system
Incisura cartilaginis meatus acustici externi,soft tissue structure – musculoskeletal system
Lamina tragi,soft tissue structure – musculoskeletal system
Lamina medialis cartilaginis tubae auditivae,direction – general anatomy
Lamina lateralis cartilaginis tubae auditivae,direction – general anatomy
CARTILAGINES LARYNGIS,soft tissue structure – musculoskeletal system
Cartilago epiglottica,cartilage – skeletal system
Petiolus epiglottidis,soft tissue structure – musculoskeletal system
Cartilago thyreoidea ,cartilage – skeletal system
Cartilago thyroidea ,cartilage – skeletal system
Prominentia laryngea,soft tissue structure – musculoskeletal system
Incisura thyreoidea superior ,direction – general anatomy
Incisura thyroidea superior ,direction – general anatomy
Superior thyroid notch ,direction – general anatomy
Incisura thyreoidea inferior Incisura thyroidea inferior ,direction – general anatomy
Inferior thyroid notch ,direction – general anatomy
Lamina cartilaginis thryeoideae Lamina cartilaginis thryoideae ,soft tissue structure – musculoskeletal system
Lamina of thyroid cartilage ,cartilage – skeletal system
Tuberculum thyreoideum superius ,soft tissue structure – musculoskeletal system
Tuberculum thyroideum superius,soft tissue structure – musculoskeletal system
Linea obliqua cartilaginis thyreoideae,soft tissue structure – musculoskeletal system
Cornu superius cartilaginis thyreoideae,organ – cardiovascular system
Cornu inferius cartilaginis thyreoideae,organ – cardiovascular system
(Foramen thyreoideum) Foramen thyroideum,soft tissue structure – musculoskeletal system
Cartilago cricoidea,cartilage – skeletal system
Arcus cartilaginis cricoideae,soft tissue structure – musculoskeletal system
Lamina cartilaginis cricoideae,soft tissue structure – musculoskeletal system
Facies articularis artytenoidea,soft tissue structure – musculoskeletal system
Facies articularis thyreoidea Facies articularis thyroidea,soft tissue structure – musculoskeletal system
Cartilago arytenoidea,cartilage – skeletal system
Basis cartilaginis arytenoideae,soft tissue structure – musculoskeletal system
Facies articularis cartilaginis arytenoideae,soft tissue structure – musculoskeletal system
Processus vocalis,soft tissue structure – musculoskeletal system
Processus muscularis,soft tissue structure – musculoskeletal system
Facies anterolateralis cartilaginis arytenoideae,direction – general anatomy
Crista arcuata,soft tissue structure – musculoskeletal system
Colliculus cartilaginis arytenoideae,soft tissue structure – musculoskeletal system
Fovea oblonga,soft tissue structure – musculoskeletal system
Fovea triangularis,soft tissue structure – musculoskeletal system
Facies medialis cartilaginis arytenoideae,direction – general anatomy
Facies posterior cartilaginis arytenoideae,direction – general anatomy
Apex cartilaginis arytenoideae,soft tissue structure – musculoskeletal system
Cartilagines minores laryngis,soft tissue structure – musculoskeletal system
Cartilago corniculata,cartilage – skeletal system
Cartilago cuneiformis,cartilage – skeletal system
(Cartilago triticea),cartilage – skeletal system
(Cartilago sesamoidea laryngis),cartilage – skeletal system
COLUMNA VERTEBRALIS,soft tissue structure – musculoskeletal system
Curvaturae primariae,soft tissue structure – musculoskeletal system
Kyphosis thoracica,soft tissue structure – musculoskeletal system
Kyphosis sacralis,soft tissue structure – musculoskeletal system
Curvaturae secundariae,soft tissue structure – musculoskeletal system
Lordosis cervicalis Lordosis colli,soft tissue structure – musculoskeletal system
Lordosis lumbalis,soft tissue structure – musculoskeletal system
(Scoliosis),soft tissue structure – musculoskeletal system
Canalis vertebralis,soft tissue structure – musculoskeletal system
Ossa columnae vertebrae,bone – skeletal system
Vertebra,soft tissue structure – musculoskeletal system
Corpus vertebrae,organ – cardiovascular system
Facies intervertebralis,soft tissue structure – musculoskeletal system
Epiphysis anularis,soft tissue structure – musculoskeletal system
Arcus vertebrae,soft tissue structure – musculoskeletal system
Pediculus arcus vertebrae,soft tissue structure – musculoskeletal system
Lamina arcus vertebrae,soft tissue structure – musculoskeletal system
Pars interarticularis arcus vertebrae,soft tissue structure – musculoskeletal system
Foramen intervertebrale,soft tissue structure – musculoskeletal system
Incisura superior vertebrae ,direction – general anatomy
Incisura vertebralis superior,direction – general anatomy
Superior vertebral notch ,direction – general anatomy
Foramen vertebrale,soft tissue structure – musculoskeletal system
Processus spinosus,soft tissue structure – musculoskeletal system
Processus transversus,soft tissue structure – musculoskeletal system
Pars lateralis processus transversi Processus lateralis vertebrae,direction – general anatomy
Pars costalis processus transversi Processus costalis,soft tissue structure – musculoskeletal system
Processus articularis inferior vertebrae ,direction – general anatomy
Zygapophysis inferior,direction – general anatomy
Facies articularis inferior vertebrae,direction – general anatomy
Vertebra cervicalis,soft tissue structure – musculoskeletal system
Foramen transversarium,soft tissue structure – musculoskeletal system
Tuberculum anterius processus transversi,soft tissue structure – musculoskeletal system
Tuberculum posterius processus transversi,soft tissue structure – musculoskeletal system
Sulcus nervi spinalis,soft tissue structure – musculoskeletal system
Massa lateralis atlantis,direction – general anatomy
Facies articularis superior atlantis,direction – general anatomy
Facies articularis inferior atlantis,direction – general anatomy
Tuberculum ligamenti transversi,ligament – musculoskeletal system
Arcus anterior atlantis,direction – general anatomy
Fovea dentis,soft tissue structure – musculoskeletal system
Tuberculum anterius atlantis,soft tissue structure – musculoskeletal system
Arcus posterior atlantis,direction – general anatomy
Sulcus arteriae vertebralis,artery – cardiovascular system
(Canalis arteriae vertebralis),artery – cardiovascular system
Tuberculum posterius atlantis,soft tissue structure – musculoskeletal system
Dens axis,soft tissue structure – musculoskeletal system
Apex dentis axis,soft tissue structure – musculoskeletal system
Facies articularis anterior dentis axis,direction – general anatomy
Facies articularis posterior dentis axis,direction – general anatomy
Tuberculum caroticum,soft tissue structure – musculoskeletal system
Vertebra prominens,soft tissue structure – musculoskeletal system
Vertebra thoracica,soft tissue structure – musculoskeletal system
Fovea costalis superior,direction – general anatomy
Fovea costalis inferior,direction – general anatomy
Fovea costalis processus transversi,soft tissue structure – musculoskeletal system
Vertebra thoracica inferior,direction – general anatomy
Fovea costalis,soft tissue structure – musculoskeletal system
Vertebra lumbalis,soft tissue structure – musculoskeletal system
Processus accessorius,soft tissue structure – musculoskeletal system
Processus mamillaris,soft tissue structure – musculoskeletal system
OS SACRUM Os sacrale SACRUM SACRUM Sacral bone,bone – skeletal system
Basis ossis sacri Basis ossis sacralis,soft tissue structure – musculoskeletal system
Promontorium,soft tissue structure – musculoskeletal system
Ala ossis sacri Ala ossis sacralis,soft tissue structure – musculoskeletal system
Processus articularis superior ossis sacri,direction – general anatomy
Pars lateralis ossis sacri,direction – general anatomy
Facies auricularis ossis sacri,soft tissue structure – musculoskeletal system
Tuberositas ossis sacri Tuberositas ossis sacralis,soft tissue structure – musculoskeletal system
Facies pelvica ossis sacri,soft tissue structure – musculoskeletal system
Lineae transversae,soft tissue structure – musculoskeletal system
Foramina intervertebralia,soft tissue structure – musculoskeletal system
Foramina sacralia anteriora Foramina pelvica ossis sacri,direction – general anatomy
Facies dorsalis ossis sacri,soft tissue structure – musculoskeletal system
Crista sacralis mediana,soft tissue structure – musculoskeletal system
Foramina sacralia posteriora Foramina dorsalia ossis sacri,direction – general anatomy
Crista sacralis medialis,direction – general anatomy
Crista sacralis lateralis,direction – general anatomy
Cornu sacrale Cornu ossis sacri,organ – cardiovascular system
Canalis sacralis,soft tissue structure – musculoskeletal system
Hiatus sacralis,soft tissue structure – musculoskeletal system
Apex ossis sacri Apex ossis sacralis Apex of sacrum Apex of sacrum,soft tissue structure – musculoskeletal system
OS COCCYGIS Coccyx,bone – skeletal system
Basis ossis coccygis,soft tissue structure – musculoskeletal system
Cornu coccygeum,organ – cardiovascular system
Apex ossis coccygis,soft tissue structure – musculoskeletal system
SKELETON THORACIS,soft tissue structure – musculoskeletal system
Cavitas thoracis ossei,soft tissue structure – musculoskeletal system
Sulcus pulmonalis,organ – respiratory system
Arcus costalis,soft tissue structure – musculoskeletal system
Spatium intercostale,soft tissue structure – musculoskeletal system
Angulus infrasternalis,soft tissue structure – musculoskeletal system
Ossa thoracis,bone – skeletal system
COSTAE Costae I-XII RIBS RIBS,soft tissue structure – musculoskeletal system
Costae verae,soft tissue structure – musculoskeletal system
Tuberculum musculi scaleni anterioris Tuberculum scalenum,direction – general anatomy
Sulcus arteriae subclaviae,artery – cardiovascular system
Sulcus venae subclaviae,vein – cardiovascular system
Tuberositas musculi serrati anterioris,direction – general anatomy
Costae spuriae,soft tissue structure – musculoskeletal system
Costae fluctuantes,soft tissue structure – musculoskeletal system
Costae supernumerariae,soft tissue structure – musculoskeletal system
(Costa cervicalis) Costa colli (Cervical rib) (Cervical rib) Cervical rib bone,bone – skeletal system
(Costa lumbalis),soft tissue structure – musculoskeletal system
Costa Os costale Rib Rib,bone – skeletal system
Caput costae,soft tissue structure – musculoskeletal system
Facies articularis capitis costae,soft tissue structure – musculoskeletal system
Crista capitis costae,soft tissue structure – musculoskeletal system
Collum costae,soft tissue structure – musculoskeletal system
Crista colli costae,soft tissue structure – musculoskeletal system
Corpus costae,organ – cardiovascular system
Tuberculum costae,soft tissue structure – musculoskeletal system
Facies articularis tuberculi costae,soft tissue structure – musculoskeletal system
Angulus costae,soft tissue structure – musculoskeletal system
Sulcus costae,soft tissue structure – musculoskeletal system
STERNUM,soft tissue structure – musculoskeletal system
Manubrium sterni,soft tissue structure – musculoskeletal system
Incisura clavicularis,soft tissue structure – musculoskeletal system
Incisura jugularis sterni,soft tissue structure – musculoskeletal system
Angulus sterni,soft tissue structure – musculoskeletal system
Corpus sterni,organ – cardiovascular system
Processus xiphoideus,soft tissue structure – musculoskeletal system
Incisurae costales,soft tissue structure – musculoskeletal system
OSSA ACCESSORIA THORACIS,bone – skeletal system
(Ossa suprasternalia),soft tissue structure – musculoskeletal system
Cartilagines costales,soft tissue structure – musculoskeletal system
Cartilago costalis,cartilage – skeletal system
OSSA MEMBRI SUPERIORIS,bone – skeletal system
SCAPULA,soft tissue structure – musculoskeletal system
Fossa subscapularis,soft tissue structure – musculoskeletal system
Facies posterior scapulae,direction – general anatomy
Spina scapulae,soft tissue structure – musculoskeletal system
Tuberculum deltoideum,soft tissue structure – musculoskeletal system
Incisura spinoglenoidea,soft tissue structure – musculoskeletal system
Fossa supraspinata,soft tissue structure – musculoskeletal system
Fossa infraspinata,soft tissue structure – musculoskeletal system
Acromion,soft tissue structure – musculoskeletal system
Facies articularis clavicularis,soft tissue structure – musculoskeletal system
Angulus acromii,soft tissue structure – musculoskeletal system
Margo medialis scapulae,direction – general anatomy
Margo superior scapulae,direction – general anatomy
Incisura scapulae,soft tissue structure – musculoskeletal system
Processus coracoideus,organ – cardiovascular system
Angulus lateralis scapulae,direction – general anatomy
Processus glenoideus scapulae,soft tissue structure – musculoskeletal system
Tuberculum supraglenoideum ,soft tissue structure – musculoskeletal system
Tuberculum supraglenoidale,soft tissue structure – musculoskeletal system
Tuberculum infraglenoideum ,soft tissue structure – musculoskeletal system
Tuberculum infraglenoidale,soft tissue structure – musculoskeletal system
Collum scapulae,soft tissue structure – musculoskeletal system
Margo lateralis scapulae,direction – general anatomy
Angulus inferior scapulae,direction – general anatomy
CLAVICULA,soft tissue structure – musculoskeletal system
Extremitas sternalis,soft tissue structure – musculoskeletal system
Facies articularis sternalis,soft tissue structure – musculoskeletal system
Impressio ligamenti costoclavicularis,ligament – musculoskeletal system
Corpus claviculae,organ – cardiovascular system
Sulcus musculi subclavii,soft tissue structure – musculoskeletal system
Extremitas acromialis,soft tissue structure – musculoskeletal system
Facies articularis acromialis,soft tissue structure – musculoskeletal system
Tuberositas ligamenti coracoclavicularis,ligament – musculoskeletal system
Tuberculum conoideum,soft tissue structure – musculoskeletal system
Linea trapezoidea,soft tissue structure – musculoskeletal system
Ossa partis liberae membri superioris ,bone – skeletal system
Ossa membri superioris liberi,bone – skeletal system
HUMERUS Os humeri HUMERUS HUMERUS,bone – skeletal system
Caput humeri,soft tissue structure – musculoskeletal system
Collum anatomicum humeri,soft tissue structure – musculoskeletal system
Collum chirurgicum humeri,soft tissue structure – musculoskeletal system
Tuberculum majus,soft tissue structure – musculoskeletal system
Tuberculum minus,soft tissue structure – musculoskeletal system
Sulcus intertubercularis,soft tissue structure – musculoskeletal system
Crista tuberculi majoris ,soft tissue structure – musculoskeletal system
Labium laterale sulci intertubercularis,direction – general anatomy
Corpus humeri,organ – cardiovascular system
Facies anteromedialis humeri Facies anterior medialis humeri,direction – general anatomy
Margo anterior humeri,direction – general anatomy
Facies anterolateralis humeri Facies anterior lateralis humeri,direction – general anatomy
Tuberositas deltoidea,soft tissue structure – musculoskeletal system
Margo lateralis humeri,direction – general anatomy
Crista supracondylaris lateralis Crista supraepicondylaris lateralis,direction – general anatomy
Facies posterior humeri,direction – general anatomy
Sulcus nervi radialis Sulcus radialis,soft tissue structure – musculoskeletal system
Margo medialis humeri,direction – general anatomy
Crista supracondylaris medialis ,direction – general anatomy
Crista supraepicondylaris medialis,direction – general anatomy
Processus supracondylaris ,soft tissue structure – musculoskeletal system
Processus supraepicondylaris,soft tissue structure – musculoskeletal system
Condylus humeri,soft tissue structure – musculoskeletal system
Capitulum humeri,soft tissue structure – musculoskeletal system
Trochlea humeri,soft tissue structure – musculoskeletal system
Fossa olecrani,soft tissue structure – musculoskeletal system
Fossa coronoidea,organ – cardiovascular system
Fossa radialis,soft tissue structure – musculoskeletal system
Epicondylus medialis humeri,direction – general anatomy
Sulcus nervi ulnaris Sulcus ulnaris,soft tissue structure – musculoskeletal system
Epicondylus lateralis humeri,direction – general anatomy
RADIUS,soft tissue structure – musculoskeletal system
Caput radii,soft tissue structure – musculoskeletal system
Fovea articularis capitis radii,soft tissue structure – musculoskeletal system
Circumferentia articularis capitis radii,organ – urinary system
Collum radii,soft tissue structure – musculoskeletal system
Corpus radii,organ – cardiovascular system
Tuberositas radii,soft tissue structure – musculoskeletal system
Facies anterior radii,direction – general anatomy
Margo interosseus radii,soft tissue structure – musculoskeletal system
Facies posterior radii,direction – general anatomy
Margo posterior radii,direction – general anatomy
Facies lateralis radii,direction – general anatomy
Tuberositas pronatoria,soft tissue structure – musculoskeletal system
Margo anterior radii,direction – general anatomy
Crista suprastyloidea,soft tissue structure – musculoskeletal system
Processus styloideus radii,soft tissue structure – musculoskeletal system
Tuberculum dorsale radii,soft tissue structure – musculoskeletal system
Sulci tendinum extensorum ,soft tissue structure – musculoskeletal system
Incisura ulnaris,soft tissue structure – musculoskeletal system
Facies articularis carpea ,soft tissue structure – musculoskeletal system
Facies articularis carpalis ,soft tissue structure – musculoskeletal system
ULNA,soft tissue structure – musculoskeletal system
Olecranon,soft tissue structure – musculoskeletal system
Processus coronoideus ulnae,organ – cardiovascular system
Tuberositas ulnae,soft tissue structure – musculoskeletal system
Incisura radialis,soft tissue structure – musculoskeletal system
Incisura trochlearis Incisura semilunaris,soft tissue structure – musculoskeletal system
Tuberculum sublime,soft tissue structure – musculoskeletal system
